sex,Walc,G3,,,,,,,,
F,1,6,,,Correlation Matrix,Male CM,Female CM,,,
F,1,6,,,-0.166795659,-0.417379928,0.086186002,,,
F,3,10,,,,,,,,
F,1,15,,,,,,,,
F,2,10,,,,Mean,(Std),(Min),(Max),Var
M,2,15,,F,Walc,1.956730769,1.052950472,1,5,1.108704697
M,1,11,,F,G3,9.966346154,4.61121356,0,19,21.2632905
F,1,6,,M,Walc,2.663101604,1.413788858,1,5,1.998798936
M,1,19,,M,G3,10.9144385,4.483261213,0,20,20.0996311
M,1,15,,,,,,,,
F,2,9,,,,,,,,
F,1,12,,,,,,,,
M,3,14,,,,,,,,
M,2,11,,,,,,,,
M,1,16,,,,,,,,
F,2,14,,,,,,,,
F,2,14,,,,,,,,
F,1,10,,,,,,,,
M,4,5,,,,,,,,
M,3,10,,,,,,,,
M,1,15,,,,,,,,
M,1,15,,,,,,,,
M,3,16,,,,,,,,
M,4,12,,,,,,,,
F,1,8,,,,,,,,
F,3,8,,,,,,,,
M,2,11,,,,,,,,
M,4,15,,,,,,,,
M,1,11,,,,,,,,
M,5,11,,,,,,,,
M,4,12,,,,,,,,
M,1,17,,,,,,,,
M,1,16,,,,,,,,
M,1,12,,,,,,,,
M,1,15,,,,,,,,
F,1,6,,,,,,,,
M,1,18,,,,,,,,
M,1,15,,,,,,,,
F,1,11,,,,,,,,
F,1,13,,,,,,,,
F,2,11,,,,,,,,
M,4,12,,,,,,,,
M,1,18,,,,,,,,
M,1,11,,,,,,,,
F,2,9,,,,,,,,
F,1,6,,,,,,,,
F,4,11,,,,,,,,
M,1,20,,,,,,,,
M,2,14,,,,,,,,
F,1,7,,,,,,,,
F,3,13,,,,,,,,
F,1,13,,,,,,,,
M,4,10,,,,,,,,
F,3,11,,,,,,,,
F,4,13,,,,,,,,
F,1,10,,,,,,,,
F,1,15,,,,,,,,
M,1,15,,,,,,,,
M,1,9,,,,,,,,
F,1,16,,,,,,,,
F,3,11,,,,,,,,
F,5,11,,,,,,,,
F,1,9,,,,,,,,
F,4,9,,,,,,,,
F,4,10,,,,,,,,
F,2,15,,,,,,,,
M,5,12,,,,,,,,
F,2,6,,,,,,,,
F,3,8,,,,,,,,
F,3,16,,,,,,,,
M,1,15,,,,,,,,
M,1,10,,,,,,,,
F,4,5,,,,,,,,
M,2,14,,,,,,,,
F,4,11,,,,,,,,
M,3,10,,,,,,,,
M,1,10,,,,,,,,
F,3,11,,,,,,,,
M,1,10,,,,,,,,
F,2,5,,,,,,,,
M,3,12,,,,,,,,
M,2,11,,,,,,,,
F,1,6,,,,,,,,
M,3,15,,,,,,,,
F,3,10,,,,,,,,
F,3,8,,,,,,,,
F,2,6,,,,,,,,
F,3,14,,,,,,,,
M,1,10,,,,,,,,
M,5,7,,,,,,,,
F,3,8,,,,,,,,
F,3,18,,,,,,,,
F,3,6,,,,,,,,
F,1,10,,,,,,,,
M,1,14,,,,,,,,
F,1,10,,,,,,,,
M,1,15,,,,,,,,
F,1,10,,,,,,,,
F,2,14,,,,,,,,
F,1,8,,,,,,,,
M,5,5,,,,,,,,
M,1,17,,,,,,,,
M,1,14,,,,,,,,
F,1,6,,,,,,,,
M,1,18,,,,,,,,
F,1,11,,,,,,,,
F,1,8,,,,,,,,
M,1,18,,,,,,,,
M,5,13,,,,,,,,
F,1,16,,,,,,,,
M,1,19,,,,,,,,
F,1,10,,,,,,,,
F,1,13,,,,,,,,
M,1,19,,,,,,,,
M,1,9,,,,,,,,
M,2,16,,,,,,,,
M,1,14,,,,,,,,
M,1,13,,,,,,,,
M,4,8,,,,,,,,
M,2,13,,,,,,,,
F,2,15,,,,,,,,
M,2,15,,,,,,,,
F,2,13,,,,,,,,
M,4,13,,,,,,,,
F,1,8,,,,,,,,
M,2,12,,,,,,,,
F,1,11,,,,,,,,
F,1,9,,,,,,,,
M,2,0,,,,,,,,
M,5,18,,,,,,,,
F,2,0,,,,,,,,
F,2,0,,,,,,,,
F,3,12,,,,,,,,
F,4,11,,,,,,,,
M,1,0,,,,,,,,
F,1,0,,,,,,,,
M,4,0,,,,,,,,
F,1,0,,,,,,,,
M,3,12,,,,,,,,
F,1,15,,,,,,,,
M,1,0,,,,,,,,
M,2,9,,,,,,,,
F,1,11,,,,,,,,
F,3,13,,,,,,,,
M,2,0,,,,,,,,
F,2,11,,,,,,,,
F,1,0,,,,,,,,
F,1,11,,,,,,,,
M,1,0,,,,,,,,
M,5,10,,,,,,,,
M,5,0,,,,,,,,
M,5,14,,,,,,,,
F,3,10,,,,,,,,
M,1,0,,,,,,,,
F,1,12,,,,,,,,
M,1,8,,,,,,,,
M,3,13,,,,,,,,
F,5,10,,,,,,,,
M,2,15,,,,,,,,
M,4,12,,,,,,,,
M,2,0,,,,,,,,
M,4,7,,,,,,,,
M,4,0,,,,,,,,
M,4,10,,,,,,,,
M,5,7,,,,,,,,
M,1,12,,,,,,,,
M,4,10,,,,,,,,
F,1,16,,,,,,,,
F,1,0,,,,,,,,
F,1,14,,,,,,,,
M,4,0,,,,,,,,
M,1,16,,,,,,,,
M,3,10,,,,,,,,
F,1,0,,,,,,,,
F,1,9,,,,,,,,
M,4,9,,,,,,,,
F,4,11,,,,,,,,
M,4,6,,,,,,,,
M,4,9,,,,,,,,
M,1,11,,,,,,,,
M,3,8,,,,,,,,
M,2,12,,,,,,,,
F,3,17,,,,,,,,
F,3,8,,,,,,,,
F,2,12,,,,,,,,
M,3,11,,,,,,,,
M,2,11,,,,,,,,
M,2,15,,,,,,,,
F,3,9,,,,,,,,
M,5,10,,,,,,,,
F,1,13,,,,,,,,
F,1,9,,,,,,,,
M,5,8,,,,,,,,
M,4,10,,,,,,,,
M,1,14,,,,,,,,
F,1,15,,,,,,,,
M,2,16,,,,,,,,
M,5,10,,,,,,,,
F,3,18,,,,,,,,
F,2,10,,,,,,,,
F,5,16,,,,,,,,
F,3,10,,,,,,,,
F,3,10,,,,,,,,
F,2,6,,,,,,,,
F,1,11,,,,,,,,
F,4,9,,,,,,,,
F,2,7,,,,,,,,
F,1,13,,,,,,,,
F,4,10,,,,,,,,
F,1,7,,,,,,,,
F,2,8,,,,,,,,
M,5,13,,,,,,,,
F,1,14,,,,,,,,
M,4,8,,,,,,,,
F,2,10,,,,,,,,
F,3,15,,,,,,,,
F,4,4,,,,,,,,
M,4,8,,,,,,,,
F,4,8,,,,,,,,
F,1,10,,,,,,,,
F,2,6,,,,,,,,
F,1,0,,,,,,,,
F,1,17,,,,,,,,
M,5,13,,,,,,,,
F,1,14,,,,,,,,
F,1,7,,,,,,,,
F,3,15,,,,,,,,
M,3,12,,,,,,,,
M,5,9,,,,,,,,
F,2,12,,,,,,,,
F,2,14,,,,,,,,
M,1,11,,,,,,,,
M,3,9,,,,,,,,
M,4,13,,,,,,,,
M,1,6,,,,,,,,
M,3,10,,,,,,,,
M,5,13,,,,,,,,
F,1,12,,,,,,,,
F,1,11,,,,,,,,
M,5,0,,,,,,,,
M,4,12,,,,,,,,
M,3,12,,,,,,,,
M,1,0,,,,,,,,
M,2,12,,,,,,,,
F,1,0,,,,,,,,
M,1,18,,,,,,,,
M,1,13,,,,,,,,
M,5,8,,,,,,,,
M,3,5,,,,,,,,
M,4,15,,,,,,,,
M,4,8,,,,,,,,
M,3,10,,,,,,,,
M,5,8,,,,,,,,
M,3,8,,,,,,,,
M,4,12,,,,,,,,
M,2,8,,,,,,,,
F,1,13,,,,,,,,
M,1,11,,,,,,,,
M,2,14,,,,,,,,
F,1,0,,,,,,,,
F,3,18,,,,,,,,
M,1,8,,,,,,,,
M,1,12,,,,,,,,
F,1,9,,,,,,,,
F,1,0,,,,,,,,
M,4,17,,,,,,,,
M,4,10,,,,,,,,
F,2,11,,,,,,,,
M,3,10,,,,,,,,
F,2,0,,,,,,,,
F,3,9,,,,,,,,
F,3,14,,,,,,,,
F,1,11,,,,,,,,
M,2,14,,,,,,,,
F,1,10,,,,,,,,
F,3,12,,,,,,,,
F,1,9,,,,,,,,
M,4,9,,,,,,,,
F,1,8,,,,,,,,
M,2,10,,,,,,,,
M,4,8,,,,,,,,
M,4,10,,,,,,,,
F,1,12,,,,,,,,
F,1,10,,,,,,,,
F,2,11,,,,,,,,
M,2,11,,,,,,,,
F,2,19,,,,,,,,
F,1,12,,,,,,,,
M,3,14,,,,,,,,
M,1,15,,,,,,,,
M,4,11,,,,,,,,
F,2,15,,,,,,,,
F,1,13,,,,,,,,
F,1,18,,,,,,,,
M,1,14,,,,,,,,
M,3,11,,,,,,,,
F,3,0,,,,,,,,
F,2,8,,,,,,,,
F,1,14,,,,,,,,
M,2,16,,,,,,,,
F,1,11,,,,,,,,
M,2,10,,,,,,,,
F,1,14,,,,,,,,
F,2,18,,,,,,,,
M,1,13,,,,,,,,
F,1,12,,,,,,,,
M,1,18,,,,,,,,
M,1,8,,,,,,,,
M,2,12,,,,,,,,
F,3,10,,,,,,,,
F,2,0,,,,,,,,
F,1,13,,,,,,,,
M,2,11,,,,,,,,
F,2,11,,,,,,,,
F,1,13,,,,,,,,
F,1,11,,,,,,,,
F,2,0,,,,,,,,
F,1,9,,,,,,,,
F,5,10,,,,,,,,
F,3,11,,,,,,,,
F,2,13,,,,,,,,
F,1,9,,,,,,,,
F,2,11,,,,,,,,
F,3,15,,,,,,,,
F,3,15,,,,,,,,
M,2,11,,,,,,,,
M,5,16,,,,,,,,
M,5,10,,,,,,,,
F,3,9,,,,,,,,
F,2,14,,,,,,,,
M,4,8,,,,,,,,
F,1,14,,,,,,,,
F,1,0,,,,,,,,
F,1,0,,,,,,,,
F,1,0,,,,,,,,
F,3,15,,,,,,,,
F,2,13,,,,,,,,
F,3,0,,,,,,,,
F,1,17,,,,,,,,
F,3,10,,,,,,,,
F,3,11,,,,,,,,
M,2,0,,,,,,,,
M,3,15,,,,,,,,
F,2,0,,,,,,,,
F,2,10,,,,,,,,
F,3,14,,,,,,,,
M,2,16,,,,,,,,
M,3,9,,,,,,,,
F,3,15,,,,,,,,
M,5,13,,,,,,,,
M,3,8,,,,,,,,
M,3,13,,,,,,,,
M,3,8,,,,,,,,
M,3,8,,,,,,,,
M,3,11,,,,,,,,
F,1,9,,,,,,,,
F,2,13,,,,,,,,
F,2,11,,,,,,,,
M,2,10,,,,,,,,
F,1,16,,,,,,,,
F,4,13,,,,,,,,
M,3,12,,,,,,,,
F,3,10,,,,,,,,
F,1,15,,,,,,,,
F,2,12,,,,,,,,
M,4,10,,,,,,,,
M,2,13,,,,,,,,
F,2,0,,,,,,,,
F,2,10,,,,,,,,
F,2,11,,,,,,,,
F,1,9,,,,,,,,
M,3,12,,,,,,,,
F,1,11,,,,,,,,
F,3,5,,,,,,,,
F,1,19,,,,,,,,
F,2,10,,,,,,,,
F,1,15,,,,,,,,
F,4,10,,,,,,,,
F,2,15,,,,,,,,
F,3,10,,,,,,,,
M,4,14,,,,,,,,
M,3,7,,,,,,,,
M,1,10,,,,,,,,
M,3,0,,,,,,,,
M,3,5,,,,,,,,
F,3,10,,,,,,,,
F,2,6,,,,,,,,
F,2,0,,,,,,,,
F,1,8,,,,,,,,
F,1,0,,,,,,,,
M,5,9,,,,,,,,
M,4,16,,,,,,,,
M,3,7,,,,,,,,
M,4,10,,,,,,,,
M,3,9,,,,,,,,
